trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.01, 'e': 0.5655254386995371}",20,0,-8.998570534517171,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.559898366565402}",25,0,-29.613684094061632,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.5543272847345071}",25,13,-21.5891877802796,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.5488116360940265}",20,0,-40.45763818725428,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.5433508690744998}",20,11,0.8535030211949313,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.5379444375946745}",30,0,-115.19414409503779,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
63,False,"{'a': 0.01, 'e': 0.5325918010068972}",20,0,-9.281640840020433,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.5272924240430485}",30,0,-102.97410768175534,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.522045776761016}",35,0,-143.47348060652897,"{0: 27, 1: 2, 2: 2, 3: 1, 4: 3}",0
66,False,"{'a': 0.01, 'e': 0.5168513344916992}",25,8,-48.007376186737886,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
67,False,"{'a': 0.01, 'e': 0.5117085777865424}",25,13,-1.0251095988844392,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.5066169923655895}",25,7,-17.19867529106627,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.5015760690660555}",30,0,-32.221638230671644,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
70,False,"{'a': 0.01, 'e': 0.49658530379140947}",25,0,-65.83745727454796,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.4916441974609651}",20,0,11.416807925139086,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.4867522559599717}",25,0,-121.80432484654548,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.48190899009020244}",20,12,1.738885395609342,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.01, 'e': 0.4771139155210344}",35,0,-77.97975728219517,"{0: 25, 1: 5, 2: 4, 3: 0, 4: 1}",0
75,False,"{'a': 0.01, 'e': 0.4723665527410147}",25,8,-25.889598247476965,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.46766642700990924}",20,13,-41.351279512366744,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.46301306831122807}",20,11,-1.0667138751294774,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.4584060113052235}",20,7,-0.3865140188810874,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.45384479528235583}",20,0,-51.19481099843982,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.44932896411722156}",25,4,-46.17942702613326,"{0: 16, 1: 0, 2: 3, 3: 2, 4: 0}",1
81,False,"{'a': 0.01, 'e': 0.4448580662229411}",20,14,13.81940839377458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
